id,season_id,utc_date,status,matchday,home_team_id,away_team_id,home_score,away_score,winner,competition_id
432274,1557,2023-08-06T19:00:00Z,FINISHED,37,1776,1766,0.0,2.0,AWAY_TEAM,2013
432275,1557,2023-08-06T19:00:00Z,FINISHED,37,1780,1767,1.0,0.0,HOME_TEAM,2013
432268,1557,2023-08-06T21:30:00Z,FINISHED,37,1777,1838,3.0,1.0,HOME_TEAM,2013
432269,1557,2023-08-06T21:30:00Z,FINISHED,37,4241,4286,0.0,1.0,AWAY_TEAM,2013
432271,1557,2023-08-06T21:30:00Z,FINISHED,37,1771,1770,0.0,0.0,DRAW,2013
432267,1557,2023-08-06T23:00:00Z,FINISHED,37,4289,1783,3.0,0.0,HOME_TEAM,2013
432258,1557,2023-08-13T00:00:00Z,FINISHED,37,1770,6684,3.0,1.0,HOME_TEAM,2013
432262,1557,2023-08-13T14:00:00Z,FINISHED,37,1766,1777,1.0,0.0,HOME_TEAM,2013
432260,1557,2023-08-13T19:00:00Z,FINISHED,37,1779,4241,3.0,1.0,HOME_TEAM,2013
432263,1557,2023-08-13T19:00:00Z,FINISHED,37,1767,1765,2.0,1.0,HOME_TEAM,2013
432266,1557,2023-08-13T19:00:00Z,FINISHED,37,1838,4250,0.0,1.0,AWAY_TEAM,2013
432257,1557,2023-08-13T21:30:00Z,FINISHED,37,1783,1776,1.0,1.0,DRAW,2013
432265,1557,2023-08-13T21:30:00Z,FINISHED,37,3984,6685,4.0,0.0,HOME_TEAM,2013
432259,1557,2023-08-14T22:00:00Z,FINISHED,37,1769,1771,1.0,0.0,HOME_TEAM,2013
432261,1557,2023-08-15T00:00:00Z,FINISHED,37,4286,1780,1.0,1.0,DRAW,2013
432264,1557,2023-08-15T23:00:00Z,FINISHED,37,1768,4289,2.0,0.0,HOME_TEAM,2013
432250,1557,2023-08-19T19:00:00Z,FINISHED,37,6684,3984,0.0,1.0,AWAY_TEAM,2013
432254,1557,2023-08-19T19:00:00Z,FINISHED,37,1776,1770,0.0,0.0,DRAW,2013
